gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0.0,0.0,1.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.6666666666666666,0.11542288557213931,0.003339474896361124,0.0
1.0,0.0,0.0,0.0,0.4722222222222222,1.0,0.0,1.0,0.5,1.0,0.3850746268656716,0.21752648549055736,0.0
1.0,0.0,0.0,0.0,0.027777777777777776,1.0,0.0,1.0,0.0,1.0,0.35422885572139307,0.01243666513127591,1.0
1.0,0.0,0.0,0.0,0.625,0.0,0.0,1.0,0.5,0.0,0.23930348258706463,0.21188392445877477,0.0
0.0,0.0,0.0,0.0,0.027777777777777776,1.0,0.5,0.0,0.0,0.6666666666666666,0.5218905472636816,0.01738830032243206,1.0
0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.5,0.0,0.0,0.6666666666666666,0.8099502487562189,0.09442653155228006,1.0
1.0,0.0,0.0,1.0,0.3055555555555555,1.0,0.5,0.0,0.0,0.3333333333333333,0.7049751243781094,0.22443574389682175,0.0
0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,1.0,0.0,1.0,0.11442786069651739,0.034661446338093045,0.0
0.0,0.0,1.0,0.0,0.38888888888888884,1.0,0.5,0.0,0.0,0.6666666666666666,0.8611940298507462,0.35076001842468907,1.0
1.0,0.0,0.0,1.0,0.861111111111111,1.0,0.0,1.0,0.5,0.0,0.3771144278606965,0.4015430677107324,0.0
1.0,0.0,1.0,1.0,0.18055555555555555,1.0,0.0,1.0,0.0,1.0,0.3154228855721393,0.06759557807462,0.0
1.0,0.0,0.0,0.0,0.2222222222222222,1.0,1.0,0.0,1.0,0.3333333333333333,0.006965174129353213,0.03754030400736988,0.0
1.0,0.0,1.0,0.0,0.8055555555555555,1.0,0.5,0.0,0.5,0.3333333333333333,0.8169154228855721,0.6541916167664671,0.0
1.0,0.0,0.0,0.0,0.6805555555555555,1.0,0.5,0.0,0.0,0.0,0.8502487562189055,0.5799170888991249,1.0
1.0,0.0,0.0,0.0,0.3472222222222222,1.0,0.5,1.0,0.0,0.6666666666666666,0.8681592039800995,0.3093044679871027,0.0
0.0,0.0,1.0,1.0,0.9583333333333333,1.0,0.5,1.0,1.0,0.3333333333333333,0.945273631840796,0.9091432519576232,0.0
0.0,0.0,0.0,0.0,0.7222222222222222,1.0,1.0,0.0,0.5,1.0,0.023880597014925342,0.11768770152003685,0.0
1.0,0.0,0.0,1.0,0.986111111111111,1.0,0.5,1.0,1.0,0.0,0.8800995024875623,0.8500690925840627,0.0
0.0,0.0,1.0,1.0,0.1388888888888889,1.0,0.0,0.0,0.0,0.3333333333333333,0.36766169154228856,0.06080147397512667,1.0
0.0,0.0,0.0,0.0,0.29166666666666663,1.0,0.5,0.0,0.0,0.6666666666666666,0.7144278606965173,0.21441731920773838,0.0
1.0,1.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.6666666666666666,0.21293532338308457,0.004491017964071856,1.0
1.0,0.0,1.0,0.0,0.16666666666666666,1.0,1.0,0.0,0.5,0.0,0.015422885572139305,0.023261169967756793,0.0
1.0,0.0,0.0,0.0,0.013888888888888888,1.0,1.0,0.0,0.0,1.0,0.018905472636815884,0.002303086135421465,1.0
0.0,0.0,1.0,0.0,0.8055555555555555,1.0,0.0,0.0,1.0,0.3333333333333333,0.4144278606965174,0.40361584523261174,0.0
1.0,0.0,1.0,1.0,0.6805555555555555,1.0,0.0,1.0,0.0,0.3333333333333333,0.4114427860696518,0.3420082911100875,0.0
0.0,0.0,0.0,0.0,0.41666666666666663,1.0,0.0,1.0,0.0,0.0,0.3686567164179104,0.17618608935974206,0.0
1.0,0.0,1.0,1.0,0.6527777777777778,1.0,0.5,0.0,0.0,0.6666666666666666,0.8069651741293532,0.5468678028558268,1.0
1.0,0.0,1.0,1.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.6666666666666666,0.11890547263681589,0.003454629203132197,1.0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.7164179104477612,0.7334177798249655,0.0
0.0,0.0,0.0,1.0,0.2361111111111111,1.0,0.0,0.0,0.0,1.0,0.4621890547263682,0.12586365730078306,1.0
0.0,1.0,1.0,0.0,0.986111111111111,1.0,0.5,1.0,1.0,0.3333333333333333,0.7771144278606964,0.7791340396130816,0.0
1.0,1.0,1.0,0.0,0.027777777777777776,1.0,0.5,0.0,0.0,0.3333333333333333,0.7686567164179104,0.020842929525564255,0.0
0.0,0.0,1.0,1.0,0.375,1.0,0.0,1.0,0.5,1.0,0.47661691542288565,0.21579917088899125,0.0
1.0,0.0,0.0,0.0,0.013888888888888888,1.0,1.0,0.0,0.0,0.0,0.019402985074626844,0.002303086135421465,0.0
1.0,1.0,0.0,0.0,0.013888888888888888,1.0,0.0,0.0,0.0,0.0,0.26865671641791045,0.0051819438046982955,0.0
0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.8124378109452737,0.834983878397052,0.0
1.0,0.0,0.0,0.0,0.06944444444444445,1.0,0.5,0.0,0.0,0.6666666666666666,0.5119402985074627,0.03638876093965914,1.0
0.0,0.0,0.0,0.0,0.6388888888888888,1.0,0.5,0.0,0.0,0.3333333333333333,0.5626865671641791,0.40856748042376784,0.0
1.0,0.0,0.0,0.0,0.4722222222222222,1.0,0.5,0.0,0.0,0.6666666666666666,0.8766169154228854,0.40868263473053895,1.0
0.0,0.0,0.0,0.0,0.15277777777777776,1.0,0.5,0.0,0.0,0.0,0.7920398009950248,0.12724550898203593,1.0
1.0,0.0,1.0,1.0,0.1388888888888889,1.0,0.0,0.0,0.5,1.0,0.3114427860696517,0.05469829571625979,0.0
0.0,0.0,1.0,1.0,0.9722222222222222,1.0,0.0,1.0,1.0,0.3333333333333333,0.5069651741293533,0.5610317825886688,0.0
0.0,0.0,1.0,1.0,0.2361111111111111,1.0,1.0,0.0,0.5,1.0,0.02487562189054726,0.048134500230308616,0.0
0.0,0.0,0.0,0.0,0.875,1.0,0.0,1.0,1.0,0.3333333333333333,0.6129353233830845,0.559765085214187,0.0
0.0,0.0,1.0,0.0,0.18055555555555555,1.0,0.0,1.0,0.0,0.6666666666666666,0.5766169154228856,0.11296637494242284,0.0
0.0,0.0,0.0,0.0,0.6805555555555555,1.0,0.5,0.0,0.0,0.6666666666666666,0.6592039800995024,0.4497927222478121,0.0
1.0,0.0,0.0,0.0,0.027777777777777776,1.0,0.0,0.0,0.0,1.0,0.30845771144278605,0.011169967756794104,0.0
0.0,0.0,0.0,0.0,0.027777777777777776,1.0,0.5,0.0,0.0,0.6666666666666666,0.6208955223880598,0.016582220175034548,1.0
1.0,0.0,0.0,0.0,0.7222222222222222,1.0,0.0,1.0,1.0,0.3333333333333333,0.6119402985074627,0.4856057116536159,0.0
0.0,0.0,1.0,1.0,0.9583333333333333,1.0,0.0,1.0,1.0,0.3333333333333333,0.4567164179104478,0.48986642100414557,0.0
0.0,1.0,0.0,0.0,0.5972222222222222,1.0,0.5,0.0,0.0,0.6666666666666666,0.7164179104477612,0.4419622293873791,0.0
0.0,0.0,0.0,0.0,0.20833333333333331,1.0,0.5,1.0,0.0,0.3333333333333333,0.8044776119402984,0.16421004145555043,1.0
0.0,1.0,1.0,0.0,0.3472222222222222,1.0,0.0,1.0,0.0,0.3333333333333333,0.5099502487562189,0.2017503454629203,0.0
0.0,1.0,1.0,0.0,0.1111111111111111,1.0,0.5,0.0,0.0,0.3333333333333333,0.6208955223880598,0.07289267618608936,1.0
0.0,1.0,1.0,1.0,0.8333333333333333,1.0,0.0,1.0,0.5,0.3333333333333333,0.56318407960199,0.5131275909719024,0.0
1.0,1.0,0.0,0.0,0.25,1.0,0.5,0.0,0.0,0.6666666666666666,0.7681592039800995,0.2017503454629203,1.0
0.0,0.0,1.0,1.0,0.875,1.0,0.5,1.0,0.5,0.3333333333333333,0.8099502487562189,0.7267388300322433,0.0
1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.5,0.0,0.5,0.6666666666666666,0.8975124378109453,0.8148318747121143,0.0
0.0,0.0,1.0,1.0,0.4722222222222222,1.0,1.0,0.0,1.0,0.3333333333333333,0.06666666666666665,0.10294795025333947,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.3333333333333333,0.8880597014925372,0.9043067710732382,0.0
0.0,0.0,1.0,0.0,0.6527777777777778,1.0,0.5,0.0,0.0,0.6666666666666666,0.818407960199005,0.5420313219714418,0.0
1.0,0.0,0.0,0.0,0.8333333333333333,1.0,0.5,0.0,0.0,0.0,0.7129353233830846,0.6275909719023491,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2373134328358209,0.34108705665591893,0.0
0.0,0.0,1.0,1.0,0.25,1.0,0.0,0.0,0.5,0.3333333333333333,0.3597014925373134,0.11020267157991709,0.0
0.0,0.0,0.0,0.0,0.125,1.0,0.5,0.0,0.0,0.6666666666666666,0.7577114427860697,0.09868724090280977,1.0
0.0,0.0,0.0,0.0,0.041666666666666664,1.0,0.0,0.0,0.0,0.6666666666666666,0.5676616915422885,0.02809765085214187,0.0
1.0,0.0,1.0,0.0,0.6527777777777778,1.0,0.5,0.0,0.5,0.6666666666666666,0.6034825870646766,0.4203132197144173,0.0
0.0,0.0,0.0,0.0,0.4305555555555555,1.0,0.0,0.0,1.0,1.0,0.6064676616915423,0.2875403040073699,0.0
0.0,0.0,1.0,1.0,0.6944444444444444,1.0,1.0,0.0,1.0,0.0,0.018905472636815884,0.10709350529709812,0.0
1.0,0.0,0.0,0.0,0.1388888888888889,1.0,0.5,1.0,0.0,1.0,0.6129353233830845,0.10214187010594196,0.0
1.0,0.0,0.0,0.0,0.013888888888888888,1.0,0.0,0.0,0.0,1.0,0.30646766169154227,0.005642561031782589,0.0
0.0,0.0,1.0,1.0,0.7222222222222222,1.0,1.0,0.0,0.5,0.6666666666666666,0.021393034825870627,0.12551819438046982,0.0
1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.5,1.0,1.0,0.0,0.9288557213930347,0.8174804237678489,0.0
1.0,0.0,1.0,1.0,0.861111111111111,1.0,1.0,0.0,1.0,0.0,0.05970149253731341,0.16397973284200829,0.0
0.0,0.0,0.0,1.0,0.041666666666666664,1.0,0.0,1.0,0.0,0.0,0.46019900497512434,0.020382312298479963,0.0
0.0,1.0,0.0,0.0,0.7777777777777777,1.0,0.5,1.0,0.5,0.6666666666666666,0.917910447761194,0.7069322892676186,0.0
0.0,0.0,0.0,0.0,0.6388888888888888,1.0,0.0,0.0,0.5,0.3333333333333333,0.37213930348258706,0.3095347766006449,0.0
0.0,0.0,1.0,1.0,0.1111111111111111,1.0,0.0,1.0,0.0,1.0,0.3621890547263681,0.0555043758636573,0.0
1.0,1.0,0.0,0.0,0.41666666666666663,1.0,0.0,1.0,0.0,0.6666666666666666,0.5621890547263682,0.24309074159373562,0.0
0.0,0.0,1.0,1.0,0.625,1.0,1.0,0.0,0.5,0.3333333333333333,0.07611940298507458,0.14002763703362506,0.0
0.0,0.0,0.0,1.0,0.013888888888888888,1.0,0.5,0.0,0.0,0.6666666666666666,0.607960199004975,0.009097190234914785,1.0
0.0,0.0,1.0,1.0,0.15277777777777776,0.0,0.0,1.0,0.0,0.6666666666666666,0.32139303482587056,0.06506218332565639,0.0
0.0,0.0,1.0,0.0,0.09722222222222221,1.0,0.5,0.0,0.0,0.0,0.5661691542288557,0.05711653615845233,1.0
0.0,0.0,0.0,0.0,0.5833333333333333,1.0,0.5,0.0,0.0,0.0,0.8512437810945274,0.4982726853984339,0.0
0.0,0.0,1.0,0.0,0.6805555555555555,1.0,1.0,0.0,1.0,0.0,0.018905472636815884,0.11204514048825426,0.0
