gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,1,43,0,0,1,1,0,51.25,2151,0
1,0,0,0,4,0,0,0,0,2,30.5,118,0
1,0,0,0,3,1,1,0,0,2,92.0,266,0
0,0,1,1,12,1,2,0,2,0,20.3,224,0
1,0,0,0,72,1,0,1,2,1,88.55,6362,0
0,1,1,0,65,1,1,0,0,0,108.8,7082,0
0,0,0,0,42,0,0,1,1,2,54.75,2348,0
1,0,1,1,47,1,1,0,0,0,107.35,5118,1
1,0,0,0,66,1,2,0,2,3,25.1,1697,0
1,0,1,0,59,1,1,1,0,2,106.75,6252,1
0,0,1,1,4,1,1,0,0,2,80.85,302,1
0,0,1,0,7,1,0,0,0,3,44.25,313,0
1,0,0,0,62,1,0,0,0,0,80.4,4981,0
1,0,0,0,2,1,0,0,0,0,62.05,118,1
1,0,1,0,67,1,1,0,2,2,93.15,6368,0
0,0,0,0,1,1,0,0,0,2,49.5,49,0
0,1,1,0,47,1,0,1,0,1,67.45,3252,0
0,1,0,0,4,1,1,0,0,2,84.6,360,1
1,0,0,0,62,1,2,0,2,0,23.4,1429,0
1,0,1,1,31,1,0,1,1,0,75.25,2344,0
1,1,1,1,68,1,1,0,1,1,107.15,7379,0
1,0,1,0,13,0,0,1,0,2,54.45,706,1
1,0,1,1,72,1,0,1,2,3,89.4,6376,0
1,0,1,1,35,1,2,0,2,3,20.1,655,0
1,0,0,0,1,1,2,0,0,0,20.2,20,0
0,0,1,0,59,1,1,0,0,2,93.35,5386,0
0,0,1,0,13,1,0,1,0,2,76.2,981,0
1,0,1,0,44,1,0,0,1,2,70.95,3250,0
0,0,0,0,3,1,1,0,0,2,69.85,199,0
1,0,0,1,3,1,2,0,0,3,20.85,60,0
0,0,1,1,31,1,2,0,0,3,19.55,658,1
0,0,0,0,61,1,0,0,2,1,88.65,5321,0
1,0,0,0,69,1,1,1,2,1,110.05,7430,0
1,0,0,0,1,1,1,0,0,2,69.35,69,1
1,0,0,0,35,1,2,0,0,2,25.6,901,0
0,0,0,0,1,1,2,0,0,3,19.1,19,1
0,0,0,1,4,1,2,0,0,0,20.05,85,0
1,0,1,0,30,1,0,0,0,3,50.0,1474,0
1,0,1,1,68,1,1,0,1,1,105.75,7322,0
1,0,0,0,72,0,0,1,2,0,63.7,4464,0
1,0,0,0,1,1,1,0,0,2,69.65,69,1
1,0,1,1,47,1,1,0,0,2,99.35,4749,1
0,0,0,0,40,1,1,0,0,0,83.85,3532,0
0,0,1,1,18,1,0,0,1,1,54.4,957,0
1,0,0,0,3,1,0,0,0,3,50.25,152,0
1,0,0,0,26,1,1,0,0,3,84.3,2281,0
1,0,0,0,17,0,0,0,0,3,25.65,440,0
0,0,1,0,1,1,0,0,0,3,55.2,55,1
1,1,0,0,32,1,2,0,1,1,19.8,587,0
0,1,1,0,54,1,1,0,1,1,101.5,5373,1
1,0,0,0,21,1,1,0,0,3,75.3,1570,0
1,0,0,1,1,1,2,0,0,3,20.25,20,0
1,0,1,0,58,0,0,0,1,1,45.0,2689,0
1,0,0,0,2,1,0,1,0,3,54.45,87,0
1,1,1,0,56,1,0,1,2,0,85.65,4824,0
1,0,0,0,58,1,0,0,2,0,70.1,4048,0
1,0,0,0,45,1,1,0,0,0,103.65,4747,0
1,0,0,0,40,1,2,0,2,3,24.6,973,0
1,0,0,0,11,1,1,1,0,0,79.5,795,0
1,1,1,0,6,1,1,0,0,2,80.8,457,0
1,1,1,0,25,1,1,1,1,2,89.05,2177,1
1,0,0,0,15,1,2,0,1,3,19.8,304,0
0,0,0,0,16,0,0,1,0,2,38.9,664,0
0,1,0,0,5,1,1,0,0,3,84.85,415,1
0,0,1,1,41,1,0,1,1,1,78.35,3211,0
1,1,0,0,23,1,1,0,0,2,106.4,2483,1
0,0,0,0,13,1,0,1,0,0,67.8,842,0
0,0,1,0,49,1,0,1,1,2,71.8,3472,0
1,0,1,0,10,1,1,0,0,2,98.5,1037,1
1,1,1,0,1,0,0,0,0,2,40.2,40,1
1,1,1,1,41,1,1,0,1,2,111.95,4534,1
0,0,0,0,9,1,2,0,0,1,20.45,147,0
1,0,0,0,4,1,0,0,0,3,44.55,220,0
1,0,1,1,20,0,0,1,2,1,39.4,825,0
0,0,1,1,13,1,2,0,2,3,20.85,272,0
1,0,1,1,2,1,1,1,0,2,97.1,184,0
1,0,1,1,6,1,2,0,2,3,25.4,153,0
0,0,0,0,6,1,2,0,2,1,19.65,116,0
1,1,0,0,3,1,1,0,0,2,105.0,294,1
1,0,0,0,67,1,2,0,2,3,19.8,1311,0
0,0,1,0,53,1,1,0,1,0,108.95,5718,0
0,0,1,0,18,1,1,0,0,1,95.95,1745,0
0,0,0,0,60,1,1,1,0,0,104.95,6236,0
0,0,1,1,43,1,0,0,0,2,56.15,2499,1
0,0,0,0,2,1,1,1,0,2,86.25,181,1
0,0,1,0,14,1,1,1,1,3,105.95,1348,1
0,1,1,0,50,1,1,0,0,2,95.05,4888,1
1,1,1,0,35,1,1,0,0,2,100.8,3437,0
0,0,1,1,68,0,0,0,2,1,60.3,4109,0
1,0,0,0,46,1,0,0,0,1,45.2,2065,0
0,0,0,0,26,1,0,1,0,0,69.5,1800,0
1,0,0,0,6,1,2,0,0,3,18.95,110,0
1,1,1,0,66,1,1,0,1,0,107.35,7051,0
0,0,0,0,1,1,1,0,0,2,79.7,79,1
1,0,1,0,13,1,0,1,0,2,65.85,902,0
1,0,0,0,10,1,1,0,0,1,95.1,865,0
1,0,0,0,71,1,1,0,2,1,86.4,6172,0
1,0,0,0,69,1,1,0,1,0,104.05,7262,1
0,0,0,0,25,1,0,0,0,0,65.8,1679,0
0,0,0,0,72,1,0,0,2,0,86.6,6350,0
1,0,0,1,63,0,0,1,1,0,40.6,2588,0
1,0,0,0,10,1,1,0,0,3,70.15,735,0
1,0,1,0,28,1,0,1,1,3,54.35,1426,0
1,0,0,0,25,1,2,0,0,3,20.6,541,0
0,0,0,0,20,1,2,0,0,0,19.5,413,0
1,0,0,0,58,1,1,0,1,0,103.25,6017,1
0,0,0,1,35,1,0,1,1,1,55.6,2016,0
1,0,0,0,1,0,0,0,0,3,45.3,45,1
1,0,0,0,50,1,1,1,1,1,114.35,5791,0
1,0,0,0,30,1,1,1,0,1,94.3,2679,0
0,0,0,0,4,0,0,0,0,2,24.45,86,1
0,0,0,0,25,0,0,0,1,2,54.2,1423,0
0,0,0,0,15,1,1,0,0,2,101.25,1457,1
0,0,1,1,33,1,1,0,1,2,93.8,3124,1
0,0,0,0,3,1,0,1,0,2,55.35,165,1
0,0,1,1,54,1,0,1,2,0,60.0,3273,0
0,0,0,0,4,1,1,0,0,2,79.15,317,1
0,0,1,1,71,1,0,1,2,3,71.1,5224,0
0,0,1,1,67,1,0,1,2,2,75.5,5229,0
0,0,1,0,40,1,2,0,2,3,19.1,780,0
1,0,0,1,64,1,1,0,0,1,99.15,6171,0
1,0,0,0,4,1,1,0,0,2,78.45,330,1
1,0,0,0,8,1,1,0,0,2,100.85,819,1
0,0,1,1,47,1,2,0,2,1,20.05,1016,0
1,0,1,1,8,1,0,1,0,1,51.3,411,0
0,0,1,0,37,1,1,1,1,2,99.2,3754,1
1,0,1,0,71,1,0,1,2,2,83.2,6126,0
1,0,1,1,70,1,0,0,2,1,85.95,5931,0
1,0,0,0,23,1,1,0,0,2,74.95,1710,1
0,0,1,1,46,1,2,0,2,3,19.25,864,0
1,0,0,0,72,1,2,0,2,0,24.75,1777,0
1,0,0,0,19,1,1,0,0,1,73.85,1424,1
0,0,1,1,47,1,2,0,2,1,20.25,873,0
0,0,1,0,45,1,0,0,0,1,50.25,2221,0
0,0,0,0,61,1,0,1,2,1,86.45,5175,0
0,0,0,0,4,1,1,0,1,2,105.65,443,1
1,0,1,1,68,0,0,1,2,3,56.4,3948,0
0,0,0,0,5,1,1,0,0,2,90.8,455,1
1,0,1,1,1,1,0,1,0,3,48.75,48,0
0,0,0,0,10,1,0,0,1,3,64.9,685,0
1,1,0,0,35,1,1,1,0,1,91.0,3180,0
1,0,1,1,66,1,0,1,1,2,75.1,5013,0
1,0,0,0,1,1,1,0,0,2,80.55,80,0
0,0,0,0,29,1,0,1,0,3,67.45,1801,0
0,0,1,1,4,1,2,0,0,3,20.85,62,0
0,1,0,0,35,1,1,1,1,0,110.8,3836,0
1,0,1,1,23,0,0,0,0,0,30.35,678,0
1,1,1,0,4,1,1,0,0,2,70.2,280,0
0,1,1,0,31,1,1,0,1,2,90.7,2835,0
0,0,0,0,71,1,2,0,2,2,24.55,1719,0
1,0,1,1,72,1,2,0,2,3,26.1,1851,0
0,0,0,1,13,1,1,0,1,1,104.15,1299,0
1,0,1,0,21,1,0,0,0,0,54.6,1125,0
1,0,1,0,51,1,1,0,1,1,90.35,4614,0
0,1,0,0,56,1,1,1,1,2,110.5,6139,0
1,0,1,1,64,1,0,1,1,1,73.05,4688,0
0,0,1,0,60,1,1,0,0,2,99.8,5985,0
0,0,0,0,4,0,0,1,0,3,48.25,202,0
1,0,0,0,46,1,2,0,2,0,20.05,902,0
1,0,1,0,71,1,0,0,2,1,84.2,5956,0
0,0,0,0,3,1,2,0,1,3,20.25,71,0
0,1,0,0,14,1,1,0,0,2,74.3,1096,1
0,0,1,1,2,1,0,0,0,3,65.7,134,1
1,0,1,1,15,1,0,0,0,3,69.5,1071,0
1,0,1,1,44,1,1,0,0,0,92.95,4122,0
0,0,1,1,7,0,0,1,0,3,34.65,246,0
1,0,0,0,54,1,2,0,2,3,20.0,1149,0
0,0,1,1,28,1,1,0,0,2,81.05,2227,1
0,1,1,0,30,1,1,0,0,2,90.05,2627,0
0,0,0,0,1,1,1,0,0,2,76.35,76,1
0,0,1,0,72,1,1,1,2,0,80.45,5737,0
1,0,0,0,18,1,1,0,0,2,80.65,1451,1
1,0,0,0,1,1,1,0,0,2,69.55,69,1
0,0,1,1,6,1,2,0,2,3,20.1,100,0
1,0,0,0,54,1,0,1,2,0,65.3,3512,0
1,0,1,1,1,1,0,0,0,2,44.55,44,0
1,0,1,0,9,1,1,1,0,2,88.05,801,0
0,0,0,0,19,0,0,0,1,1,44.85,893,1
0,0,1,1,69,1,2,0,2,0,25.6,1673,0
1,0,0,0,70,1,1,1,2,1,104.0,7250,1
0,1,1,0,11,1,1,0,0,0,104.05,1133,1
1,1,1,1,60,1,1,1,0,2,93.25,5774,0
1,0,0,0,8,1,1,0,0,2,86.55,649,1
0,0,1,1,63,1,0,1,2,3,63.55,4014,0
1,0,1,1,15,1,2,0,1,3,19.65,332,0
0,0,0,0,70,1,1,0,1,0,90.25,6385,0
0,1,0,0,16,1,1,0,0,2,96.15,1529,1
0,0,1,0,49,1,1,1,0,3,100.85,4847,0
0,0,1,1,12,0,0,0,1,1,30.25,368,0
1,0,1,0,5,1,1,0,0,2,94.45,498,1
1,0,0,0,67,1,2,0,2,0,20.5,1430,0
0,1,1,1,28,0,0,0,1,2,39.1,1096,0
1,0,0,0,5,1,0,0,0,0,75.15,392,0
1,0,0,0,20,1,2,0,1,3,19.7,415,0
1,1,1,0,63,1,0,1,1,0,84.0,5329,0
0,0,0,0,12,1,1,0,0,2,86.55,1066,0
0,0,1,1,50,1,1,0,0,0,69.75,3557,0
1,0,1,0,13,1,0,0,1,3,75.3,989,1
0,0,0,0,38,1,2,0,1,3,20.05,678,0
0,1,1,0,64,1,1,1,1,0,97.0,6430,0
1,0,1,0,60,0,0,0,0,0,60.2,3582,0
1,0,0,0,1,1,2,0,0,3,20.05,20,0
1,0,1,0,14,1,0,0,2,3,81.95,1181,0
0,0,1,1,43,1,1,0,0,0,92.55,4039,0
0,1,0,0,26,1,1,1,0,2,95.0,2497,1
0,0,0,0,22,1,1,0,0,3,84.3,1855,1
1,0,0,1,29,1,1,0,1,1,100.55,2830,0
0,0,0,0,57,1,0,0,2,3,69.75,3894,0
1,0,1,1,48,1,0,0,1,1,55.8,2651,0
0,0,0,0,6,1,1,0,0,2,83.9,497,1
0,0,0,0,1,1,1,0,0,2,70.3,70,1
0,0,1,1,72,1,0,1,2,1,85.9,6110,0
0,0,1,0,72,1,0,1,2,0,64.75,4804,0
1,0,0,0,13,0,0,0,0,0,25.15,331,0
1,0,1,1,57,1,2,0,2,3,20.75,1123,0
1,0,0,0,35,1,2,0,1,3,19.15,638,0
0,0,1,0,56,1,1,0,0,2,98.7,5669,0
0,0,0,0,40,1,2,0,2,0,20.6,827,0
1,0,0,0,38,1,1,0,1,0,95.0,3605,0
0,0,1,0,71,0,0,1,1,0,66.8,4689,0
0,1,0,0,29,1,0,1,0,0,58.55,1718,0
0,0,0,0,36,1,0,0,1,3,70.7,2511,0
1,0,1,1,34,1,1,0,0,2,89.85,3091,0
1,0,1,1,71,1,0,1,2,0,86.85,6263,0
1,0,1,0,42,1,0,1,1,1,80.45,3375,0
0,0,0,0,35,1,0,0,0,2,62.1,2096,0
1,1,1,0,62,1,1,0,0,0,89.8,5629,0
0,0,1,1,41,1,1,0,1,0,109.1,4454,0
0,0,0,0,47,1,0,1,2,3,74.05,3496,0
0,1,0,0,41,1,1,0,0,2,104.4,4133,0
0,0,0,0,43,1,2,0,2,1,25.7,1188,0
0,0,0,1,12,1,0,0,0,2,44.55,480,1
1,0,1,0,8,1,0,0,0,3,54.75,445,0
1,0,0,0,5,1,1,0,0,2,74.65,383,0
1,0,0,0,28,1,1,0,1,0,91.25,2483,0
1,0,0,0,26,1,1,0,0,2,98.65,2537,0
1,1,0,0,9,1,0,0,0,3,49.2,447,0
1,0,1,1,49,0,0,1,0,2,39.2,1838,0
0,0,1,0,2,1,2,0,0,0,20.1,43,0
1,0,1,0,8,1,0,0,0,0,49.55,393,0
1,0,1,0,40,1,1,0,1,2,80.8,3132,0
1,0,1,1,63,1,0,1,2,3,75.7,4676,0
0,0,0,0,12,1,0,0,1,3,75.85,854,0
1,0,1,0,40,1,1,0,0,2,101.3,4113,1
1,0,1,1,4,1,1,0,0,2,101.15,385,1
1,0,0,0,10,1,1,1,0,2,110.1,1043,1
1,0,0,0,19,1,2,0,2,3,19.65,358,0
0,0,0,0,36,0,0,0,0,0,34.85,1267,0
1,0,0,0,46,0,0,0,1,1,33.7,1537,0
0,0,0,1,46,1,1,0,0,0,84.8,3958,0
1,0,0,1,60,1,2,0,2,3,19.95,1189,0
0,1,1,0,70,1,1,0,2,1,75.65,5411,0
0,1,0,0,21,0,0,1,0,2,41.9,840,1
1,0,0,0,53,1,0,0,1,2,61.1,3357,0
0,0,1,1,58,1,2,0,1,1,24.5,1497,0
1,0,1,1,7,1,1,0,0,2,89.75,608,1
